Sr. No,State,District1,District,Major Sector,Sub-sector1,Sub-Sector,Detailed Sector,Occupation/Activity,Concatenate,Sum of Activity,Outstanding credit Sep 2017,Ratio = Outstanding credit 2017/sum of activity,01-09-2017,01-12-2017,01-03-2018,01-06-2018,01-09-2018,01-12-2018,01-03-2019,01-06-2019,01-09-2019,01-12-2019,01-03-2020,01-06-2020,01-09-2020,01-12-2020,01-03-2021,01-06-2021,01-09-2021,01-12-2021,01-03-2022,01-06-2022,01-09-2022,01-12-2022,01-03-2023,01-06-2023,01-09-2023,01-12-2023,01-03-2024,01-06-2024,01-09-2024,01-12-2024,01-03-2025
26,ODISHA,507,KANDHAMAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KANDHAMAL Mfr of Dairy Products,135453776,170,,0.04,0.04,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.02,0.07,0.06,0.06,0.03,0.03,0.02,0.43,0.42,0.65,0.37,0.50,0.51,0.40,0.36,0.29,0.43,0.35,0.38,0.20,0.18,0.14
26,ODISHA,508,KENDRAPARA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KENDRAPARA Mfr of Dairy Products,135453776,625,,0.02,0.02,0.02,0.01,0.01,0.02,0.03,0.07,0.08,0.07,0.08,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.02,0.05,0.14,0.17,0.12,0.07,0.05,0.05,0.05,0.04
26,ODISHA,509,KEONJHAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KEONJHAR Mfr of Dairy Products,135453776,381,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.05,0.05,0.06,0.05,0.04,0.03,0.05,0.05,0.07,0.17,0.30,0.14,0.10,0.09,0.12,0.12,0.06,0.06,0.05,0.07,0.10
26,ODISHA,510,KHURDA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KHURDA Mfr of Dairy Products,135453776,154463,0.0011,0.18,0.18,0.21,0.14,0.11,0.40,0.24,0.19,0.15,0.09,0.09,0.11,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.08,0.28,0.13,0.07,0.09,0.12,0.16,0.04
26,ODISHA,511,KORAPUT,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KORAPUT Mfr of Dairy Products,135453776,918,,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.18,0.12,0.17,0.18,0.10,0.10,0.11,0.14,0.08
26,ODISHA,512,MALKANGIRI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MALKANGIRI Mfr of Dairy Products,135453776,377,,0.14,0.12,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.06,0.03,0.03,0.04,0.03,0.06,0.06,0.05,0.05,0.03,0.01,0.01,0.01,0.01,0.01
26,ODISHA,513,MAYURBHANJ,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MAYURBHANJ Mfr of Dairy Products,135453776,917,,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.06,0.08,0.07,0.07,0.08,0.06,0.05,0.05,0.05,0.08,0.10,0.11,0.11,0.13,0.12,0.10,0.10,0.10,0.11,0.10,0.07,0.06,0.08,0.07
26,ODISHA,514,NAWAPARA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NAWAPARA Mfr of Dairy Products,135453776,1470,,0.09,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.01
26,ODISHA,515,NAWRANGPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NAWRANGPUR Mfr of Dairy Products,135453776,1018,,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.05,0.04,0.08,0.07,0.12,0.12,0.15,0.14,0.25,0.30,0.19,0.19,0.17
26,ODISHA,516,NAYAGARH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NAYAGARH Mfr of Dairy Products,135453776,962,,0.03,0.04,0.04,0.03,0.04,0.03,0.03,0.05,0.04,0.04,0.09,0.10,0.10,0.10,0.19,0.11,0.13,0.27,0.27,0.23,0.35,0.39,0.32,0.28,0.26,0.26,0.19,0.19,0.17,0.19,0.16
26,ODISHA,517,PURI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PURI Mfr of Dairy Products,135453776,11272,0.0001,0.23,0.15,0.12,0.12,0.07,0.05,0.11,0.14,0.30,0.43,0.40,0.37,0.37,0.36,0.33,0.24,0.28,0.46,0.57,0.46,0.51,0.52,0.41,0.52,0.42,0.41,0.27,0.18,0.19,0.22,0.18
26,ODISHA,518,RAYAGADA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,RAYAGADA Mfr of Dairy Products,135453776,191,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.02,0.01,0.01,0.00,0.01,0.01,0.16,0.30,0.54,0.92,1.12,1.43,1.76,1.32,1.00,0.85,0.72,0.53,0.33
26,ODISHA,519,SAMBALPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SAMBALPUR Mfr of Dairy Products,135453776,382,,0.00,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
26,ODISHA,520,SONEPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SONEPUR Mfr of Dairy Products,135453776,938,,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.05,0.05,0.06,0.08,0.12,0.23,0.34,0.38,0.34,0.24,0.17,0.13,0.10,0.06
26,ODISHA,521,SUNDARGARH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SUNDARGARH Mfr of Dairy Products,135453776,4335,,0.08,0.05,0.05,0.04,0.04,0.04,0.05,0.06,0.06,0.06,0.08,0.08,0.05,0.06,0.05,0.04,0.04,0.04,0.06,0.11,0.11,0.22,0.10,0.12,0.13,0.08,0.08,0.07,0.05,0.04,0.02
27,PUDUCHERRY,522,KARAIKAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KARAIKAL Mfr of Dairy Products,135453776,37682,0.0003,5.77,5.69,5.14,4.77,4.56,4.93,4.80,5.32,5.27,4.72,5.01,4.29,4.04,3.97,4.16,3.31,3.21,0.86,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
27,PUDUCHERRY,523,MAHE,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MAHE Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.03,0.04,0.01,0.03,0.00,0.00,0.00
