Sr. No,State,District1,District,Major Sector,Sub-sector1,Sub-Sector,Detailed Sector,Occupation/Activity,Concatenate,Sum of Activity,Outstanding credit Sep 2017,Ratio = Outstanding credit 2017/sum of activity,01-09-2017,01-12-2017,01-03-2018,01-06-2018,01-09-2018,01-12-2018,01-03-2019,01-06-2019,01-09-2019,01-12-2019,01-03-2020,01-06-2020,01-09-2020,01-12-2020,01-03-2021,01-06-2021,01-09-2021,01-12-2021,01-03-2022,01-06-2022,01-09-2022,01-12-2022,01-03-2023,01-06-2023,01-09-2023,01-12-2023,01-03-2024,01-06-2024,01-09-2024,01-12-2024,01-03-2025
31,TAMIL NADU,617,TIRUNELVALI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,TIRUNELVALI Mfr of Dairy Products,135453776,78014,0.0006,0.22,0.29,0.22,0.18,0.15,0.16,0.11,0.13,0.13,0.14,0.23,0.23,0.23,0.23,0.27,0.22,0.33,0.39,0.35,0.35,0.36,0.34,0.30,0.32,0.26,0.25,0.32,0.34,0.29,0.30,0.28
31,TAMIL NADU,618,TIRUPATHUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,TIRUPATHUR Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,0.17,0.22,0.27,0.32,0.51,0.52,0.55,0.75,0.78,0.56,0.56,0.32,0.38,0.37
31,TAMIL NADU,619,TIRUPPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,TIRUPPUR Mfr of Dairy Products,135453776,159102,0.0012,0.27,0.30,0.27,0.25,0.30,0.24,0.22,0.26,0.29,0.24,0.25,0.21,0.24,0.51,0.44,0.46,0.43,0.54,0.38,0.23,0.28,0.28,0.17,0.23,0.29,0.32,0.29,0.31,0.25,0.25,0.25
31,TAMIL NADU,620,TIRUVANNAMALAI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,TIRUVANNAMALAI Mfr of Dairy Products,135453776,13916,0.0001,0.06,0.05,0.04,0.07,0.07,0.08,0.07,0.08,0.08,0.09,0.12,0.10,0.11,0.45,0.41,0.36,0.48,0.86,0.83,0.62,0.67,0.48,0.27,0.44,0.43,0.37,0.26,0.20,0.13,0.15,0.17
31,TAMIL NADU,621,TOOTHUKUDI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,TOOTHUKUDI Mfr of Dairy Products,135453776,30810,0.0002,0.08,0.06,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.04,0.04,0.06,0.06,0.05,0.05,0.06,0.06,0.07,0.11,0.11,0.17,0.24,0.34,0.31,0.20,0.10,0.06,0.03
31,TAMIL NADU,622,VELLORE,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,VELLORE Mfr of Dairy Products,135453776,223386,0.0016,1.71,1.83,1.68,1.66,1.50,1.63,1.64,1.89,1.97,2.24,2.14,1.95,2.33,2.29,2.32,1.97,3.17,3.00,2.85,2.67,2.46,2.90,2.51,0.63,0.67,0.58,0.40,0.53,0.66,0.71,0.82
31,TAMIL NADU,623,VILLUPURAM,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,VILLUPURAM Mfr of Dairy Products,135453776,31586,0.0002,0.09,0.11,0.09,0.08,0.09,0.16,0.13,0.15,0.15,0.22,0.19,0.16,0.20,0.70,0.45,0.52,0.92,1.04,1.18,1.26,0.71,0.87,0.23,0.20,0.23,0.22,0.18,0.15,0.14,0.17,0.21
31,TAMIL NADU,624,VIRUDHUNAGAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,VIRUDHUNAGAR Mfr of Dairy Products,135453776,37362,0.0003,0.08,0.08,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.20,0.24,0.24,0.18,0.11,0.06,0.03,0.04,0.05,0.06,0.09,0.14,0.12,0.15,0.24,0.37,0.29,0.26,0.26,0.21,0.14
32,TELANGANA,625,ADILABAD,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ADILABAD Mfr of Dairy Products,135453776,1753,,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0.03,0.06,0.17,0.20,0.46,0.70,0.72,0.37,0.34,0.25,0.28,0.24
32,TELANGANA,626,BHADRADRI (KOTHAGUDEM),II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BHADRADRI (KOTHAGUDEM) Mfr of Dairy Products,135453776,,,-,0.18,0.21,0.18,0.17,0.13,0.08,0.08,0.10,0.11,0.07,0.05,0.05,0.08,0.14,0.17,0.16,0.09,0.33,0.80,1.39,1.63,1.23,0.86,0.82,0.90,0.75,0.53,0.46,0.49,0.40
32,TELANGANA,627,HANUMAKONDA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,HANUMAKONDA Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,0.03,0.09,0.09,0.18,0.23,0.21,0.17,0.12,0.11,0.10,0.09
32,TELANGANA,628,HYDERABAD,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,HYDERABAD Mfr of Dairy Products,135453776,2776312,0.0205,0.62,0.78,0.65,0.52,0.51,0.57,0.64,0.60,0.57,0.65,0.60,0.42,0.26,0.20,0.18,0.14,0.28,0.32,0.46,0.42,0.56,0.53,0.66,0.47,0.27,0.30,0.31,0.33,0.31,0.53,0.80
32,TELANGANA,629,JAGITIAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JAGITIAL Mfr of Dairy Products,135453776,,,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.03,0.01,0.02,0.02,0.22,0.64,0.92,1.11,0.93,0.79,0.68,0.62,0.46,0.46,0.48,0.47,0.38
32,TELANGANA,630,JANGAON,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JANGAON Mfr of Dairy Products,135453776,,,-,0.00,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.09,0.09,0.17,0.15,0.12,0.07,0.06,0.19,0.24,0.17,0.14,0.10,0.09,0.08,0.05
32,TELANGANA,631,JAYASHANKAR (BHUPALPALLI),II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JAYASHANKAR (BHUPALPALLI) Mfr of Dairy Products,135453776,,,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.09,0.17,0.10,0.11,0.04,0.26,0.21,0.17,0.16,1.04
32,TELANGANA,632,JOGULAMBA (GADWAL),II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,JOGULAMBA (GADWAL) Mfr of Dairy Products,135453776,,,-,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.05,0.04,0.04,0.06,0.06,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.11,0.19,0.27,0.19,0.28,1.15,1.15,1.21
32,TELANGANA,633,KAMAREDDY,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KAMAREDDY Mfr of Dairy Products,135453776,,,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.00,0.02,0.01,0.02,0.06,0.08,0.12,0.16,0.23,0.29,0.33,0.27,0.22,0.12
32,TELANGANA,634,KARIMNAGAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KARIMNAGAR Mfr of Dairy Products,135453776,67457,0.0005,0.20,0.25,0.46,0.19,0.18,0.18,0.31,0.21,0.24,0.23,0.24,0.17,0.41,0.40,0.24,0.27,0.24,0.48,0.50,0.75,0.85,0.67,0.75,0.76,0.63,0.98,0.90,0.62,0.61,0.54,0.47
32,TELANGANA,635,KHAMMAM,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KHAMMAM Mfr of Dairy Products,135453776,91409,0.0007,0.47,1.05,1.19,1.05,1.16,3.29,3.26,3.72,4.34,3.97,4.10,3.50,3.00,2.93,1.61,1.28,0.24,0.15,0.12,0.16,0.23,0.34,0.40,0.88,1.13,1.39,1.16,1.24,1.16,1.14,0.82
32,TELANGANA,636,KOMRAM BHEEM (ASIFABAD),II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KOMRAM BHEEM (ASIFABAD) Mfr of Dairy Products,135453776,,,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.01,0.00,0.04,0.08,0.07,0.24,0.24,0.19,0.15,0.19,0.14
32,TELANGANA,637,MAHABUBABAD,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MAHABUBABAD Mfr of Dairy Products,135453776,,,-,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.05,0.05,0.04,0.02,0.03,0.01,0.00,0.00,0.01,0.02,0.04,0.05,0.09,0.10,0.10,0.31,0.85,0.88,0.75,1.22,1.33,1.26,0.66
32,TELANGANA,638,MAHBUBNAGAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MAHBUBNAGAR Mfr of Dairy Products,135453776,8748,0.0001,0.04,0.04,0.04,0.03,0.03,0.07,0.06,0.10,0.10,0.09,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.05,0.08,0.13,0.22,0.21,0.32,0.33,0.54,0.61,0.53,0.51,0.62,0.42,0.30
32,TELANGANA,639,MANCHERIAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MANCHERIAL Mfr of Dairy Products,135453776,,,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.15,0.18,0.13,0.12,0.07,0.17,0.13,0.20,0.23,0.28,0.23
32,TELANGANA,640,MEDAK,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MEDAK Mfr of Dairy Products,135453776,1487,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.08,0.14,0.15,0.18,0.58,0.90,1.13,1.43,1.40,1.07,1.01
32,TELANGANA,641,MEDCHAL-MALKAJGIRI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MEDCHAL-MALKAJGIRI Mfr of Dairy Products,135453776,,,-,0.78,0.77,0.66,0.55,0.52,0.47,0.67,0.65,0.66,0.62,0.55,0.59,0.61,0.55,0.58,0.51,0.76,0.89,1.10,1.15,1.26,0.78,0.64,0.57,0.58,0.56,0.59,0.49,0.55,0.44
32,TELANGANA,642,MULUGU,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,MULUGU Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.30,0.17,0.17,0.28,0.25,0.26,0.43,0.29,0.36,2.24,3.61,3.69,3.11
32,TELANGANA,643,NAGARKURNOOL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NAGARKURNOOL Mfr of Dairy Products,135453776,,,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.09,0.24,0.37,0.46,0.38,0.33,0.39,0.19,0.29,0.28,0.10,0.07,0.11,0.10,0.09,0.07
32,TELANGANA,644,NALGONDA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NALGONDA Mfr of Dairy Products,135453776,14651,0.0001,0.02,0.01,0.09,0.10,0.15,0.51,0.52,0.44,0.70,0.49,0.32,0.20,0.33,0.21,0.25,0.15,0.21,0.10,0.02,0.02,0.03,0.03,0.05,0.04,0.13,0.10,0.17,0.07,0.05,0.03,0.04
32,TELANGANA,645,NARAYANPET,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NARAYANPET Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.05,0.08,0.11,0.08,0.14,0.14,0.02,0.02,0.02,0.01,0.05,0.08,0.15,0.15,0.09,0.07,0.02
32,TELANGANA,646,NIRMAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NIRMAL Mfr of Dairy Products,135453776,,,-,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.03,0.03,0.03,0.00,0.02,0.01,0.00,0.00,0.01,0.03,0.04,0.05,0.07,0.14,0.39,0.65,0.88,1.16,1.10,0.97,0.72
32,TELANGANA,647,NIZAMABAD,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NIZAMABAD Mfr of Dairy Products,135453776,13579,0.0001,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.05,0.08,0.03,0.05,0.05,0.05,0.04,0.07,0.12,0.21,0.27,0.31,0.29,0.26,0.19,0.13,0.10,0.12,0.12,0.12
32,TELANGANA,648,PEDDAPALLI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PEDDAPALLI Mfr of Dairy Products,135453776,,,-,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,0.03,0.08,0.16,0.22,0.28,0.38,0.45,0.39,0.34
32,TELANGANA,649,RAJANNA(SIRCILLA),II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,RAJANNA(SIRCILLA) Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.53,1.69,1.42,0.81,0.60,0.93,1.10,1.11,1.57,1.63,1.51,1.20
32,TELANGANA,650,RAJANNA (SIRICILLA),II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,RAJANNA (SIRICILLA) Mfr of Dairy Products,135453776,,,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.73,-,-,-,-,-,-,-,-,-,-,-,-
32,TELANGANA,651,RANGAREDDI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,RANGAREDDI Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.72,0.75,0.98,1.09,0.98,0.93,0.87,0.73,0.86,0.40,0.39,0.36
32,TELANGANA,652,RANGAREDDY,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,RANGAREDDY Mfr of Dairy Products,135453776,241488,0.0018,0.75,0.47,0.72,0.51,0.54,0.36,0.37,0.85,0.63,0.47,0.48,0.89,0.80,0.80,0.80,0.67,0.69,0.73,0.49,-,-,-,-,-,-,-,-,-,-,-,-
32,TELANGANA,653,SANGAREDDY,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SANGAREDDY Mfr of Dairy Products,135453776,,,-,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.09,0.09,0.09,0.08,0.41,0.11,0.11,0.11,0.10,0.10,0.21,0.50,0.61,0.60,0.61,0.52
32,TELANGANA,654,SIDDIPET,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SIDDIPET Mfr of Dairy Products,135453776,,,-,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,0.09,0.13,0.36,0.46,0.52,0.59,0.66,0.58,0.47,0.52,0.52,0.41,0.38
32,TELANGANA,655,SURYAPET,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SURYAPET Mfr of Dairy Products,135453776,,,-,0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.17,0.14,0.14,0.10,0.09,0.07,0.06,0.02,0.06,0.06,0.08
32,TELANGANA,656,VIKARABAD,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,VIKARABAD Mfr of Dairy Products,135453776,,,-,0.12,0.12,0.08,0.09,0.08,0.15,0.17,0.20,0.14,0.20,0.12,0.19,0.15,0.10,0.09,0.08,0.08,0.07,0.06,0.06,0.08,0.06,0.18,0.19,0.24,0.18,0.12,0.08,0.09,0.66
32,TELANGANA,657,WANAPARTHY,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,WANAPARTHY Mfr of Dairy Products,135453776,,,-,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.02,0.02,0.21,0.54,0.61,1.06,1.46,1.61,2.47,2.40,2.54,2.21,1.52
32,TELANGANA,658,WARANGAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,WARANGAL Mfr of Dairy Products,135453776,17319,0.0001,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,0.07,0.22,0.39,0.39,0.40,0.33,0.23,0.21,0.17,0.16,0.13
32,TELANGANA,659,WARANGAL RURAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,WARANGAL RURAL Mfr of Dairy Products,135453776,,,-,0.12,0.04,0.02,0.01,0.04,0.01,0.02,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.02,-,-,-,-,-,-,-,-,-,-,-,-
32,TELANGANA,660,WARANGAL URBAN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,WARANGAL URBAN Mfr of Dairy Products,135453776,,,-,0.04,0.04,0.03,0.03,0.04,0.03,0.07,0.08,0.04,0.08,0.03,0.03,0.02,0.01,0.01,0.00,0.00,0.01,-,-,-,-,-,-,-,-,-,-,-,-
32,TELANGANA,661,YADADRI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,YADADRI Mfr of Dairy Products,135453776,,,-,0.04,0.03,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,-,-,-,-,-,-,-,-,-,-,-,-
32,TELANGANA,662,YADADRI BHUVANAGIRI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,YADADRI BHUVANAGIRI Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09,0.19,0.26,0.28,0.25,0.33,0.28,0.20,0.31,0.51,0.46,0.29
33,TRIPURA,663,DHALAI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,DHALAI Mfr of Dairy Products,135453776,1647,,0.78,0.70,0.45,0.28,0.24,0.29,0.58,0.62,0.59,0.67,0.31,0.27,0.42,0.46,0.31,0.28,0.41,0.49,0.78,0.80,0.89,0.77,0.72,0.74,0.75,1.17,1.06,1.09,0.89,0.89,0.80
33,TRIPURA,664,GOMATI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,GOMATI Mfr of Dairy Products,135453776,2187,,1.37,1.16,0.98,0.71,0.83,0.83,0.68,2.11,2.45,2.12,1.81,1.61,1.21,1.26,0.96,1.02,1.43,1.52,1.74,1.91,1.68,1.60,1.29,1.34,1.34,1.32,1.25,1.85,1.01,1.20,1.22
33,TRIPURA,665,KHOWAI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KHOWAI Mfr of Dairy Products,135453776,1055,,0.40,0.37,0.50,0.51,0.57,0.63,1.33,0.84,1.16,1.05,0.61,0.59,0.46,0.28,0.25,0.27,0.70,0.91,1.06,1.07,0.86,0.74,0.64,0.62,0.56,0.59,0.64,0.65,0.54,0.58,0.57
33,TRIPURA,666,NORTH TRIPURA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NORTH TRIPURA Mfr of Dairy Products,135453776,5670,,0.95,0.82,1.57,2.12,2.03,1.82,1.80,1.69,1.41,1.08,1.29,1.19,1.44,1.64,2.20,1.98,2.60,2.51,2.73,2.41,1.74,1.74,1.40,1.23,1.20,1.02,0.90,0.90,0.50,0.49,0.50
33,TRIPURA,667,SEPAHIJALA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SEPAHIJALA Mfr of Dairy Products,135453776,10637,0.0001,2.58,2.13,2.11,2.05,2.06,2.68,2.44,2.84,2.66,2.19,1.76,1.56,0.82,1.14,1.44,1.39,1.48,1.70,1.66,1.83,2.57,1.85,1.33,1.15,0.99,1.00,0.71,0.64,0.56,0.70,0.74
33,TRIPURA,668,SOUTH TRIPURA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SOUTH TRIPURA Mfr of Dairy Products,135453776,11148,0.0001,1.87,1.85,2.24,2.44,2.97,3.96,3.42,2.95,2.36,1.60,1.26,1.17,1.16,1.06,1.10,1.03,1.19,1.28,1.40,1.40,1.31,1.33,1.17,0.87,0.97,0.83,0.75,1.10,0.69,0.71,0.72
33,TRIPURA,669,UNAKOTI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,UNAKOTI Mfr of Dairy Products,135453776,21964,0.0002,2.86,2.98,2.70,1.55,2.34,2.85,3.02,3.39,3.67,3.15,2.97,2.57,0.06,0.11,0.16,0.13,0.24,0.35,0.36,0.29,0.25,0.31,0.33,0.34,0.40,0.38,0.32,1.65,0.58,1.00,0.99
33,TRIPURA,670,WEST TRIPURA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,WEST TRIPURA Mfr of Dairy Products,135453776,15239,0.0001,0.27,0.24,0.22,0.24,0.23,0.27,0.33,0.35,0.34,0.30,0.45,0.38,0.41,0.43,0.39,0.31,0.31,0.35,0.32,0.31,0.26,0.23,0.21,0.18,0.16,0.26,0.30,0.47,0.28,0.31,0.32
34,UTTARAKHAND,671,ALMORA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ALMORA Mfr of Dairy Products,135453776,3301,,0.95,0.86,0.87,0.78,0.76,0.83,0.74,0.79,0.52,0.41,0.39,0.44,0.28,0.23,0.31,0.30,0.42,0.40,2.06,2.13,1.51,1.16,0.34,0.43,0.50,0.47,0.44,0.49,0.37,0.47,0.42
34,UTTARAKHAND,672,BAGESHWAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BAGESHWAR Mfr of Dairy Products,135453776,50,,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.25,0.22,0.26,0.23,0.23,0.23,0.22,0.18,0.24,0.18,0.29,0.81,0.77,0.46,0.33,0.15,0.10,0.08
34,UTTARAKHAND,673,CHAMOLI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CHAMOLI Mfr of Dairy Products,135453776,375,,0.27,0.25,1.12,1.05,1.06,1.28,1.68,1.53,2.24,1.55,1.48,1.16,1.10,0.79,0.57,0.35,0.72,0.60,0.46,0.35,0.06,0.00,0.23,0.27,0.24,0.22,0.17,0.16,0.13,0.15,0.11
34,UTTARAKHAND,674,CHAMPAWAT,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CHAMPAWAT Mfr of Dairy Products,135453776,1716,,0.15,0.09,0.11,0.06,0.09,0.20,0.42,0.42,0.43,0.25,0.30,0.25,0.12,0.14,0.12,0.08,0.04,0.06,0.09,0.18,0.17,0.29,0.42,0.30,0.28,0.25,0.24,0.19,0.19,0.18,0.08
34,UTTARAKHAND,675,DEHRA DUN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,DEHRA DUN Mfr of Dairy Products,135453776,42857,0.0003,0.26,0.24,0.19,0.29,0.51,0.57,0.57,0.72,0.66,0.64,0.44,0.40,0.53,0.53,0.45,0.27,0.78,0.54,0.67,0.78,0.69,0.69,1.42,1.67,1.41,2.77,2.05,2.12,1.25,1.77,1.68
34,UTTARAKHAND,676,GARHWAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,GARHWAL Mfr of Dairy Products,135453776,7053,0.0001,0.46,0.42,0.39,0.33,0.62,0.56,0.65,0.58,0.53,0.58,0.67,0.58,0.31,0.24,0.21,0.35,0.48,0.56,0.74,0.75,0.75,0.92,0.82,0.83,0.91,0.95,0.84,0.83,0.72,0.75,0.63
34,UTTARAKHAND,677,HARIDWAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,HARIDWAR Mfr of Dairy Products,135453776,103451,0.0008,0.15,0.11,0.11,0.10,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.02,0.08,0.16,0.25,0.43,0.66,0.41,0.32,0.42,0.46,0.49,0.27,0.29,0.50,0.41
34,UTTARAKHAND,678,NAINITAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NAINITAL Mfr of Dairy Products,135453776,20021,0.0001,0.12,0.26,0.15,0.02,0.02,0.02,0.03,0.09,0.07,0.07,0.07,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.05,0.06,0.05,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.19,0.45
34,UTTARAKHAND,679,PITHORAGARH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PITHORAGARH Mfr of Dairy Products,135453776,208,,0.07,0.05,0.04,0.03,0.02,0.24,0.14,0.15,0.15,0.19,0.71,0.64,0.74,0.64,0.75,0.71,1.37,1.43,3.22,2.95,2.47,1.87,1.35,1.29,1.37,1.14,0.84,0.66,0.60,0.44,0.28
34,UTTARAKHAND,680,RUDRAPRAYAG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,RUDRAPRAYAG Mfr of Dairy Products,135453776,2650,,1.11,0.92,0.72,0.63,0.57,0.38,0.24,0.19,0.15,0.02,0.02,0.02,0.02,0.02,0.01,0.07,0.09,0.11,0.11,0.11,0.08,0.08,0.06,0.06,0.06,0.04,0.18,0.16,0.15,0.13,0.19
